260706-02:16:04.287912 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-02:16:04.288647 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-02:16:04.295852 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-02:31:04.294954 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-02:31:04.295187 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-02:31:04.295288 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260706-02:31:04.297897 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-02:31:04.304145 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-02:31:04.304764 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-02:31:04.314962 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-02:31:04.325425 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-02:31:04.325759 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-02:31:04.330187 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-02:46:04.279229 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-02:46:04.279463 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
